               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.07542,            0.034656,            0.039233,             0.16781,             0.30646,             0.11971,            0.046123,             0.04826,            0.013666,            0.027982,            0.070068,           0.0033257,           0.0033257
                   1,            0.053909,            0.027699,            0.030216,             0.21611,             0.32821,              0.2488,            0.088296,            0.042013,            0.011058,            0.022097,            0.040002,           0.0065931,           0.0065931
                   2,             0.05183,            0.026252,            0.027568,             0.27069,             0.40387,             0.32815,             0.15449,            0.040385,             0.01231,            0.021244,           0.0098705,           0.0097946,           0.0097946
                   3,            0.048331,            0.026281,            0.024863,             0.23528,             0.43454,             0.26965,             0.14325,            0.038149,            0.012399,             0.01864,            0.009703,            0.009703,            0.009703
                   4,            0.043351,            0.026411,            0.023323,             0.42718,             0.46066,             0.42867,             0.23747,            0.033332,            0.012293,            0.017377,            0.009703,            0.009703,            0.009703
                   5,            0.040501,            0.024957,             0.02167,             0.28767,             0.51757,             0.36418,             0.18411,            0.032293,            0.013052,            0.018738,            0.009604,            0.009604,            0.009604
                   6,            0.039567,            0.026217,            0.021174,             0.38482,             0.50212,             0.42674,             0.23541,            0.031369,            0.013275,            0.017773,            0.009505,            0.009505,            0.009505
                   7,            0.038709,            0.025408,            0.021387,             0.55557,             0.49418,              0.4991,             0.30479,            0.028645,            0.012387,            0.015908,            0.009406,            0.009406,            0.009406
                   8,            0.038038,            0.026239,            0.021664,             0.41602,             0.40491,             0.41097,             0.25032,              0.0304,            0.012956,            0.017356,            0.009307,            0.009307,            0.009307
                   9,            0.037699,            0.026133,            0.019808,             0.37395,              0.5223,             0.42795,             0.24099,             0.03247,            0.013188,            0.016636,            0.009208,            0.009208,            0.009208
                  10,            0.036984,            0.024784,            0.018945,             0.43945,              0.4958,             0.44007,             0.23592,            0.030454,            0.013149,            0.017583,            0.009109,            0.009109,            0.009109
                  11,            0.035483,              0.0251,            0.019193,             0.43509,             0.33979,             0.41704,             0.23805,            0.031468,            0.012843,            0.017997,             0.00901,             0.00901,             0.00901
